,collector,corpus,date,genre,idnumber,location,motifs,storytype,tradition
480,W. Meyles,Meyles.20e,1991-01-01 00:00:00,sprookje,Meyles05,,Z18.1,ATU 0333,boek
481,Wendy de Visser,URBANLEG.20,1998-06-25 00:00:00,broodjeaapverhaal,ULEG0084,Amsterdam (Noord-Holland),N211.1,ATU 0736A,mondeling
482,Wendy de Visser,URBANLEG.20,1998-07-02 00:00:00,broodjeaapverhaal,ULEG0116,Utrecht (Utrecht),K426,ATU 0990,mondeling
483,W. Meyles,Meyles.20e,1991-01-01 00:00:00,sprookje,Meyles06,,N711.2;D1967.1;G269.4;D1960.3;F361.1.1;M370;D1978.5;F316.1,ATU 0410,almanak
484,W. Meyles,Meyles.20e,1991-01-01 00:00:00,sprookje,Meyles07,,B103.1.1;D1401.2;D1401.1;D1472.1.7;D861.1;D881.2,ATU 0563,almanak
485,W. Meyles,,1991-01-01 00:00:00,sprookje,Meyles08,,N777.4;Q41;G204,ATU 0480,almanak
486,W. Meyles,Meyles.20e,1991-01-01 00:00:00,sprookje,Meyles09,,F535.1,ATU 0700,almanak
487,W. Meyles,Meyles.20e,1991-01-01 00:00:00,sprookje,Meyles10,,J2081.1,ATU 1415,almanak
488,C.B. van Haeringen,Divtext.20E,,mop,DIVTX078,,K403,ATU 1529,tijdschriftartikel
489,Theo Meder,LOMBOK01.20E,1998-09-27 00:00:00,mop,LOMBO068,Utrecht (wijk Lombok; Utrecht),E780.2,ATU 0660,mondeling
490,Theo Meder,LOMBOK01.20E,1998-09-27 00:00:00,mop,LOMBO098,Utrecht (wijk Lombok; Utrecht),K81.1,ATU 1088,mondeling
491,Elise de Bree,DIVTEXT.20E,1998-10-15 00:00:00,mop,DIVTX121,Haarlem (Noord-Holland),R135;G526;G412.1;G512.3.2;S321;S143;F771.1.10,ATU 0327A,email
492,,DIVTEXT.20E,1998-10-22 00:00:00,sprookje,DIVTX122,,E21.1;D1311.2;S111.4,ATU 0709,internet
493,Elise de Bree,moppen4.20E,1998-09-23 00:00:00,mop,MOP40357,,D1761.0.2,ATU 0750A,internet
494,Theo Meder (vertaling Nadia Eversteijn),LOMBOK01.20E,1998-10-28 00:00:00,mop,LOMBO105,"Utrecht (wijk Lombok, Utrecht)",J1531.3,ATU 1592B,almanak
495,Theo Meder,DIVTEXT.20E,1998-10-28 00:00:00,mop,DIVTX123,Utrecht (Utrecht),J1041;J1041.2,ATU 1215,tijdschriftartikel
496,Theo Meder,DIVTEXT.20E,1998-11-10 00:00:00,mop,DIVTX128,Baarn (Utrecht),Z17,ATU 2013,mondeling
497,Theo Meder,DIVTEXT.20E,1998-11-10 00:00:00,mop,DIVTX129,Baarn (Utrecht),Z17,ATU 2013,mondeling
498,Anouk Siegenbeek van Heukelom,URBANLEG.20E,1998-11-06 00:00:00,broodjeaapverhaal,ULEG0261,Amsterdam (Noord-Holland),K426,ATU 0990,email
499,Anouk Siegenbeek van Heukelom,Urbanleg.20E,1998-11-16 00:00:00,broodjeaapverhaal,ULEG0280,,B331.2,ATU 0178A,email
500,Theo Meder,LOMBOK01.20E,1998-12-30 00:00:00,mop,LOMBO125,Utrecht (Utrecht; wijk Lombok),J1531.3,ATU 1592B,mondeling
501,Diana Giesbergen,DIVTEXT.20E,1999-01-04 00:00:00,sprookje,DIVTX140,St. Annaparochie (Friesland),F1025;K1161;B296,ATU 0210,mondeling
502,Marco Holmer,LOMBOK01.20E,1999-01-01 00:00:00,sprookje,LOMBO165,Utrecht (Utrecht; wijk Lombok),K402.1,ATU 0785A,mondeling
503,Theo Meder,LOMBOK01.20E,1999-03-03 00:00:00,mop,LOMBO167,"Utrecht (Utrecht, wijk Lombok)",J1151.1.1,ATU 1381,mondeling
504,Theo Meder,LOMBOK01.20E,1999-03-10 00:00:00,mop,LOMBO173,"Utrecht (Utrecht, wijk: Lombok)",J2311.4;J2311.1,ATU 1313A,mondeling
505,Theo Meder,LOMBOK01.20E,1999-03-10 00:00:00,mop,LOMBO174,"Utrecht (Utrecht, wijk: Lombok)",E235.4,ATU 0366,mondeling
506,Theo Meder,LOMBOK01.20E,1999-03-10 00:00:00,mop,LOMBO176,"Utrecht (Utrecht, wijk: Lombok)",X411.2,ATU 1785B,mondeling
507,G.K. Keessen,DIVTEXT.20E,1998-12-01 00:00:00,mop,DIVTX162,Aalsmeer (Noord-Holland),B874,ATU 1960B,tijdschriftartikel
508,G.K. Keessen,DIVTEXT.20E,1998-12-01 00:00:00,mop,DIVTX163,Aalsmeer (Noord-Holland),B874,ATU 1960B,tijdschriftartikel
509,Theo Meder,LOMBOK01.20E,1999-06-16 00:00:00,mop,LOMBO201,Utrecht (Utrecht; wijk Lombok),J1561.3,ATU 1558,mondeling
510,Theo Meder,LOMBOK01.20E,1999-06-16 00:00:00,mop,LOMBO205,Utrecht (Utrecht; wijk Lombok),E780.2,ATU 0660,mondeling
511,Luuk van Dongen,DIVTEXT.20E,1999-06-21 00:00:00,mop,DIVTX173,Eindhoven (Noord-Brabant),K1354.1,ATU 1563,email
512,Theo Meder,LOMBOK01.20E,1999-06-23 00:00:00,mop,LOMBO223,Utrecht (Utrecht; wijk Lombok),K81.1,ATU 1088,mondeling
513,Marie van Dijk,LOMBOK02.20E,1999-06-23 00:00:00,mop,LOMBO245,Utrecht (Utrecht; wijk Lombok),K81.1,ATU 1088,mondeling
514,Theo Meder,LOMBOK02.20E,1999-07-28 00:00:00,mop,LOMBO266,"Utrecht (Utrecht, wijk Lombok)",K81.1,ATU 1088,mondeling
515,Theo Meder,LOMBOK02.20E,1999-07-28 00:00:00,mop,LOMBO267,"Utrecht (Utrecht, wijk Lombok)",J2496,ATU 1700,mondeling
516,Theo Meder,LOMBOK02.20E,1999-08-25 00:00:00,mop,LOMBO281,"Utrecht (Utrecht, wijk Lombok)",J2022,ATU 1288A,mondeling
517,Henk Hokke,DIVTEXT2.20E,1993-01-01 00:00:00,sprookje,DIVTX356,,Z18.1,ATU 0333,boek
518,Theo Meder,LOMBOK02.20E,1999-11-01 00:00:00,sprookje,LOMBO361,"Utrecht (Utrecht, wijk: Lombok)",D1552.2;F721.4,ATU 0954,mondeling
519,Theo Meder,LOMBOK02.20E,1999-11-24 00:00:00,sprookje,LOMBO378,"Utrecht (Utrecht, wijk: Lombok)",D1552.2;F721.4;N455.3,ATU 0954,mondeling
520,Theo Meder,LOMBOK02.20E,1999-12-08 00:00:00,mop,LOMBO410,Utrecht (Utrecht; wijk Lombok),K81.1,ATU 1088,mondeling
521,Marie van Dijk,LOMBOK02.20E,2000-02-09 00:00:00,sprookje,LOMBO473,"Utrecht (Utrecht, wijk: Lombok)",H521;S222.1;N475;H1021.8;H914,ATU 0500,mondeling
522,Theo Meder,LOMBOK02.20E,2000-03-22 00:00:00,sprookje,LOMBO490,Utrecht (Utrecht; wijk Lombok),B579.6;B331.2.2,ATU 0178B,mondeling
523,Theo Meder,LOMBOK02.20E,2000-03-22 00:00:00,sprookje,LOMBO491,Utrecht (Utrecht; wijk Lombok),K334.1;A2426.2.6,ATU 0057,mondeling
524,Theo Meder,LOMBOK02.20E,2000-03-22 00:00:00,sprookje,LOMBO492,Utrecht (Utrecht; wijk Lombok),B522.1;B512;B361;W154.8,ATU 0160,mondeling
525,Theo Meder,LOMBOK02.20E,2000-03-22 00:00:00,mop,LOMBO499,Utrecht (Utrecht; wijk Lombok),F668.1,ATU 0660,mondeling
526,Theo Meder,LOMBOK02.20E,2000-03-26 00:00:00,mop,LOMBO503,Utrecht (Utrecht; wijk Lombok),J1791.2,ATU 1335A,mondeling
527,Jan Jonker,DIVTEXT2.20E,2000-04-07 00:00:00,mop,DIVTX364,Baarn (Utrecht),J461.1,ATU 0293,fax
528,Theo Meder,LOMBOK03.20E,2000-04-26 00:00:00,sprookje,LOMBO508,"Utrecht (Utrecht, wijk: Lombok)",J2172.1,ATU 1333,mondeling
529,Theo Meder,LOMBOK03.20E,2000-04-26 00:00:00,mop,LOMBO509,"Utrecht (Utrecht, wijk: Lombok)",J2021,ATU 1288,mondeling
530,Theo Meder,LOMBOK03.20E,2000-04-26 00:00:00,sprookje,LOMBO510,"Utrecht (Utrecht, wijk: Lombok)",K445;J2312,ATU 1620,mondeling
531,Theo Meder,LOMBOK03.20E,2000-04-26 00:00:00,sprookje,LOMBO511,"Utrecht (Utrecht, wijk: Lombok)",N333.2,ATU 1586,mondeling
532,Theo Meder,DIVTEXT2.20E,2000-06-03 00:00:00,mop,DIVTX578,Groesbeek (Gelderland),J1041;J1041.2,ATU 1215,krant
533,Ilja Hijink,LOMBOK03.20E,2000-06-06 00:00:00,sprookje,LOMBO521,Utrecht (Utrecht; wijk Lombok),J1791.4,ATU 0034A,mondeling
534,Ilja Hijink,LOMBOK03.20E,2000-06-06 00:00:00,sprookje,LOMBO523,Utrecht (Utrecht; wijk Lombok),K334.1;A2426.2.6,ATU 0057,mondeling
