,collector,corpus,date,genre,idnumber,location,motifs,storytype,tradition
610,A. Tinneveld,tinneveld.20E,,mop,TINNEV134,Didam (Gelderland),J2463.2,ATU 1468*,boek
611,A. Tinneveld,tinneveld.20E,,mop,TINNEV135,Didam (Gelderland),K1354.1,ATU 1563,boek
612,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV139,Didam (Gelderland),N776;K335.1.4;K1161;B296,ATU 0130,boek
613,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV142,Didam (Gelderland),H621.2;R111.1.3;P251.6.2;F642.1,ATU 0653,boek
614,A. Tinneveld,tinneveld.20E,,mop,TINNEV152,Beker Mark (Gelderland),N384.10,ATU 1676,boek
615,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV183,Beek (Gelderland),D1715,ATU 0960,boek
616,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV193,Babberich (Gelderland),D1653.1.7;D1415.2.5;N55.1,ATU 0592,boek
617,A. Tinneveld,tinneveld.20E,,mop,TINNEV194,Babberich (Gelderland),K404.1,ATU 1004,boek
618,A. Tinneveld,tinneveld.20E,1960-01-01 00:00:00,sprookje,TINNEV196,Babberich (Gelderland),D1552.2;N478;F721.4;N455.3,ATU 0954,boek
619,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV197,Babberich (Gelderland),F92;F96;L161,ATU 0301,boek
620,A. Tinneveld,tinneveld.20E,,sage,TINNEV199,Babberich (Gelderland),N825.3,ATU 0593,boek
621,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV203,Babberich (Gelderland),D1413.1;Z111.2,ATU 0330,boek
622,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV204,Babberich (Gelderland),K1132,ATU 0791,boek
623,A. Tinneveld,tinneveld.20E,,mop,TINNEV206,Babberich (Gelderland),K1271.1.4,ATU 1776,boek
624,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV209,Babberich (Gelderland),J17,ATU 0157,boek
625,A. Tinneveld,tinneveld.20E,,sage,TINNEV210,Babberich (Gelderland),K912,ATU 0956B,boek
626,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV211,Babberich (Gelderland),B170;D1761.0.1;B375.1;Q338,ATU 0555,boek
627,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV214,Babberich (Gelderland),K1611,ATU 0327B,boek
628,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV217,Babberich (Gelderland),E21.1;D1311.2;S111.4;Q414.4;F852.1,ATU 0709,boek
629,A. Tinneveld,tinneveld.20E,,mop,TINNEV218,Babberich (Gelderland),K300,ATU 1635*,boek
630,A. Tinneveld,tinneveld.20E,,mop,TINNEV219,Babberich (Gelderland),K1842,ATU 1829,boek
631,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV221,Babberich (Gelderland),D1601.5;B103.1.1;D1401.1;D1472.1.7;D861.1;D881.2,ATU 0563,boek
632,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV222,Babberich (Gelderland),J711.1,ATU 0280A,boek
633,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV224,Kerkrade (Limburg),H1242;H1331.1,ATU 0550,boek
634,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV225,Kerkrade (Limburg),L161,ATU 0301,boek
635,A. Tinneveld,tinneveld.20E,,sage,TINNEV230,Kerkrade (Limburg),K912,ATU 0956B,boek
636,A. Tinneveld,tinneveld.20E,,mop,TINNEV231,Babberich (Gelderland),K341.7;K341.6,ATU 1525D,boek
637,H. Krosenbrink,tinneveld.20E,,sage,TINNEV243,Babberich (Gelderland),K912,ATU 0956B,boek
638,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV248,Liemers (Gelderland),E765.1.3,ATU 0332,boek
639,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV251,Liemers (Gelderland),K213;M211,ATU 0330,boek
640,A. Tinneveld,tinneveld.20E,,mop,TINNEV252,Velp (Gelderland),H1151.4;K301.1;H1151.2,ATU 1525A,boek
641,A. Tinneveld,tinneveld.20E,,mop,TINNEV253,Velp (Gelderland),K111.1,ATU 1539,boek
642,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV254,Velp (Gelderland),D1601.5;D1401.1,ATU 0563,boek
643,A. Tinneveld,tinneveld.20E,,sage,TINNEV259,Didam (Gelderland),K912,ATU 0956B,boek
644,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV265,Didam (Gelderland),Q25,ATU 0768,boek
645,A. Tinneveld,tinneveld.20E,,mop,TINNEV272,Didam (Gelderland),J1511.2,ATU 1565**,boek
646,A. Tinneveld,tinneveld.20E,,mop,TINNEV274,Liemers (Gelderland),K341.6,ATU 1525D,boek
647,A. Tinneveld,tinneveld.20E,,sage,TINNEV302,Didam (Gelderland),K912,ATU 0956B,boek
648,A. Tinneveld,tinneveld.20E,1974-01-01 00:00:00,sprookje,TINNEV303,Albergen (Overijssel),K362.1,ATU 1541,boek
649,A. Tinneveld,tinneveld.20E,1974-01-01 00:00:00,sage,TINNEV304,Didam (Gelderland),N384.11,ATU 1676,boek
650,A.A Jaarsma,JAARSMA.20E,1968-03-24 00:00:00,sprookje,CJ037506,Augustinusga (Friesland),R135.1;G412.1;G512.3.2;S321;S143;G82;F771.1.10,ATU 0327A,mondeling
651,C.G.L. Apeldoorn,DIVTEXT1.21E,2001-05-07 00:00:00,sprookje,DVTEX042,Baarn (Utrecht),K2011;F913;Q426;Z18.1,ATU 0333,krant
652,A.A. Jaarsma,JAARSMA.20E,,mop,CJ041801,Groningen (Groningen),N384.10,ATU 1676,mondeling
653,"Roger van Laere, huisarts in Liempde",KULHANNE.20E,1982-01-01 00:00:00,sprookje,kul015,Liempde (Noord-Brabant),F771.4.4;M341.2.13;N711.2;G269.4;D1364.17;F361.1.1;M370;D1978.5;F316.1,ATU 0410,boek
654,"Roger van Laere, huisarts in Liempde",KULHANNE.20E,1982-01-01 00:00:00,sprookje,kul016,Liempde (Noord-Brabant),E21.1;D1311.2;S111.4;K512.2;Q414.4;F451.5.1.2;F852.1,ATU 0709,boek
655,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB002,Amsterdam (Noord-Holland),J1242.1,ATU 1533A,kluchtboek
656,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB033,Amsterdam (Noord-Holland),J1561.3,ATU 1558,kluchtboek
657,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB040,Amsterdam (Noord-Holland),K1961.1.3,ATU 1825C,kluchtboek
658,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB062,Amsterdam (Noord-Holland),K1363,ATU 1542**,kluchtboek
659,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB083,Amsterdam (Noord-Holland),K1222,ATU 1686A*,kluchtboek
660,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB098,Amsterdam (Noord-Holland),J1748,ATU 1331A*,kluchtboek
661,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB102,Amsterdam (Noord-Holland),J1551.2,ATU 1804,kluchtboek
662,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB132,Amsterdam (Noord-Holland),K581.1;J1762.1.2,ATU 1310,kluchtboek
663,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB152,Amsterdam (Noord-Holland),K83.1,ATU 1095,kluchtboek
664,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB161,Amsterdam (Noord-Holland),K31.1,ATU 1091,kluchtboek
665,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB180,Amsterdam (Noord-Holland),K1956;K1956.2;N611.1,ATU 1641,kluchtboek
666,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB196,Amsterdam (Noord-Holland),J2071,ATU 0750A,kluchtboek
667,Jan Pietersz. Meerhuysen,TAMB1659.17E,1659-01-01 00:00:00,mop,TAMB257,Amsterdam (Noord-Holland),K343.2.1,ATU 1792,kluchtboek
668,A.A. Jaarsma,JAARSMA.20E,1969-06-20 00:00:00,mop,CJ071212,Kornhorn (Groningen),X435.1,ATU 1833A,mondeling
669,Patrick Arink,ARINK.21E,2001-10-15 00:00:00,broodjeaapverhaal,ARINK003,,X21,ATU 1339G,internet
670,Patrick Arink,ARINK.21E,2001-10-15 00:00:00,broodjeaapverhaal,ARINK019,,B331.2,ATU 0178A,internet
671,Patrick Arink,ARINK.21E,2001-10-17 00:00:00,sage,ARINK059,,K426,ATU 0990,internet
672,C. Bakker,CBAKKER.20E,1899-09-21 00:00:00,sprookje,CBAK0028,Waterland (Noord-Holland),H11.1;Q271.1;R163;L161,ATU 0505,mondeling
673,C. Bakker,CBAKKER.20E,1899-10-26 00:00:00,sprookje,CBAK0078,Waterland (Noord-Holland),K311.3;K1839.1;K1832,ATU 0123,mondeling
674,"Koman, Ruben A.",KOMAN.21E,2009-12-03 00:00:00,mop,RKOMADRENT0018,Zuidlaren (Drenthe),J1511.2,ATU 1565**,mondeling
675,A.J. Botermans,ROMEN.15E,1479-01-01 00:00:00,exempel,ROMEN002,,B331.2,ATU 0178A,boek
676,"Koman, Ruben A.",IGRONINGEN,2007-05-26 00:00:00,sprookje,IGRON051,Overschild (Groningen),H1578.1.4.1,ATU 0958F*,vragenlijst
677,E. Bonebakker,BRANDAAN.14E,1380-01-01 00:00:00,legende,BRAND008,,F754,ATU 0322*,boek
678,Moniek Vis,SCHOLTE.21E,2001-11-27 00:00:00,mop,SCHOLTE001,Groningen (Groningen),X1111,ATU 1894,mondeling
679,Moniek Vis,SCHOLTE.21E,2001-11-27 00:00:00,mop,SCHOLTE003,Groningen (Groningen),X1061.1,ATU 1960H,mondeling
680,A.A. Jaarsma,JAARSMA.20E,1979-09-06 00:00:00,sage,CJ121607,Schoonoord (Drenthe),K413,ATU 0965*,mondeling
681,A.A. Jaarsma,JAARSMA.20E,1979-09-06 00:00:00,mop,CJ121608,Schoonoord (Drenthe),K1354.1,ATU 1563,mondeling
682,A.A. Jaarsma,JAARSMA.20E,1979-09-06 00:00:00,mop,CJ121609,Schoonoord (Drenthe),J1772.1,ATU 1319,mondeling
683,A.A. Jaarsma,JAARSMA.20E,,sprookje,CJ124103,Harlingen (Friesland),Z41,ATU 2030,mondeling
684,J.R.W. Sinninghe,SPORDSLD.20E,,mop,SPORDS15,Den Haag (Zuid-Holland),Z111.2;D1413.1;J2071;D1413.5,ATU 0330,boek
685,J.R.W. Sinninghe,SPORDSLD.20E,1894-01-01 00:00:00,sprookje,SPORDS44,Den Haag (Zuid-Holland),J144;F913,ATU 0123,boek
686,J.R.W. Sinninghe,SPORDSLD.20E,,sage,SPORDS46,Loosduinen (Zuid-Holland),L435.2.1,ATU 0762,boek
687,Danny Plugge,HUMOR2.21E,2002-07-01 00:00:00,mop,HUMOR378,Rotterdam (Zuid-Holland),K187,ATU 1610,email
688,R. Boosman,cboekeno. 19E,1881-01-01 00:00:00,sprookje,CBOEK145,Koog aan de Zaan (Noord-Holland),Z44,ATU 2035,brief
689,R. Boosman,cboekeno. 19E,1881-01-01 00:00:00,sprookje,CBOEK146,Koog aan de Zaan (Noord-Holland),Z41,ATU 2030,brief
690,R. Boosman,cboekeno. 19E,1881-01-01 00:00:00,sprookje,CBOEK147,Koog aan de Zaan (Noord-Holland),Z41,ATU 2030,brief
691,R. Boosman,cboekeno. 19E,1881-01-01 00:00:00,sprookje,CBOEK148,Koog aan de Zaan (Noord-Holland),Q412;E607.1;E613.0.1,ATU 0720,brief
692,J. Breen,cboekeno.19E,1893-12-12 00:00:00,sprookje,CBOEK149,Amsterdam (Noord-Holland),Z41,ATU 2030,brief
693,"Deenik-Bronner, Mevr.",CBOEKENO.19E,1893-11-26 00:00:00,sprookje,cboek156,Haarlem (Noord-Holland),N271,ATU 0780,brief
694,"Ferwerda, M.A.",CBOEKENO.19E,1892-04-16 00:00:00,sprookje,cboek160,Amsterdam (Noord-Holland),Q412,ATU 0720,brief
695,"Ferwerda, M.A.",CBOEKENO.19E,1892-04-16 00:00:00,sprookje,cboek161,Amsterdam (Noord-Holland),Z17,ATU 2013,brief
696,"Ferwerda, M.A.",CBOEKENO.19E,1892-04-06 00:00:00,sprookje,cboek162,Amsterdam (Noord-Holland),E235.4.2,ATU 0366,brief
697,"Groot, H.B. de",CBOEKENO.19E,1894-04-11 00:00:00,sprookje,cboek163,Zuidhorn (Noord-Holland),H542,ATU 0927,brief
698,"Groot, Neeltje",CBOEKENO.19E,1892-01-02 00:00:00,sprookje,cboek165,Krommenie (Noord-Holland),Q412;G61;E607.1;E30,ATU 0720,brief
699,"Honigh, C.",CBOEKENO.19E,1893-10-06 00:00:00,sprookje,cboek168,Wageningen (Gelderland),Z23,ATU 2010IA,brief
700,"Smit, A.",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,cboek170,Steenwijk (Overijssel),K403,ATU 1529,brief
701,"Mandings, J.",CBOEKENO.19E,1892-01-01 00:00:00,sprookje,cboek171,Alkmaar (Noord-Holland),E235.4.1,ATU 0366,brief
702,"Mandings, J.",CBOEKENO.19E,1892-01-01 00:00:00,sprookje,cboek172,Alkmaar (Noord-Holland),H542,ATU 0927,brief
703,"Marlof, S.H.",CBOEKENO.19E,1892-08-12 00:00:00,sprookje,cboek173,Nieuwer-Amstel (Noord-Holland),H542,ATU 0927,brief
704,"Noordwal, Cornélie A.",CBOEKENO.19E,1894-01-01 00:00:00,sprookje,CBOEK178,'s-Gravenhage (Zuid-Holland),J144;F913,ATU 0123,brief
705,"Noordwal, Cornélie A.",CBOEKENO.19E,1894-01-01 00:00:00,sprookje,CBOEK179,'s-Gravenhage (Zuid-Holland),R111.2.1,ATU 0301,brief
706,"Noppen, J.",CBOEKENO.19E,1892-03-29 00:00:00,sprookje,CBOEK180,Amsterdam (Noord-Holland),Z41,ATU 2030,brief
707,"Pen, K.Johan",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK182,Leiden (Zuid-Holland),D1413.1;K213;D1413.5,ATU 0330,brief
708,"Prooyen, A.B. van",CBOEKENO.19E,1892-03-31 00:00:00,sprookje,CBOEK197,Bergen op Zoom (Noord-Brabant),Z41,ATU 2030,brief
709,"Roorda, dames",CBOEKENO.19E,1893-02-01 00:00:00,sprookje,CBOEK198,Assen (Drente),Z41,ATU 2030,brief
710,"Roorda, dames",CBOEKENO.19E,1893-02-01 00:00:00,sprookje,CBOEK199,Ameland (Friesland),G61;E607.1;E613.0.1,ATU 0720,brief
711,"Roorda, dames",CBOEKENO.19E,1893-02-01 00:00:00,sprookje,CBOEK203,Assen (Drente),M211,ATU 0330,brief
712,"Roos van den Berg, M.C.",CBOEKENO.19E,1894-02-25 00:00:00,sprookje,CBOEK204,"Kralingen, Rotterdam (Zuid-Holland)",Z41,ATU 2030,brief
713,"Roos van den Berg, M.C.",CBOEKENO.19E,1894-02-25 00:00:00,sprookje,CBOEK205,"Kralingen, Rotterdam (Zuid-Holland)",Z44,ATU 2035,brief
714,"Roos van den Berg, M.C.",CBOEKENO.19E,1894-02-25 00:00:00,sprookje,CBOEK206,"Kralingen, Rotterdam (Zuid-Holland)",Z41,ATU 2030,brief
715,"Schneithen, I..A.",CBOEKENO.19E,1892-04-03 00:00:00,sprookje,CBOEK210,Arnhem (Gelderland),Q412;E613.0.1,ATU 0720,brief
716,"Simonis, L.J.A.N.",CBOEKENO.19E,1894-04-28 00:00:00,sprookje,CBOEK215,Haaren bij Oisterwijk (Noord-Brabant),A2741.1;F1025.1,ATU 0295,brief
717,"Starck, A.J.",CBOEKENO.19E,1892-04-13 00:00:00,sprookje,CBOEK218,Bennekom (Gelderland),Z23,ATU 2010IA,brief
718,"Tak, J.",CBOEKENO.19E,1894-03-20 00:00:00,sprookje,CBOEK223,Tuitjenhorn (Noord-Holland),Z23,ATU 2010IA,brief
719,"Tuijn, W.J.",CBOEKENO.19E,1902-02-11 00:00:00,sprookje,CBOEK225,Edam (Noord-Holland),Q412,ATU 0720,brief
720,"Unger Stapert, Cornelia G.",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK226,ROTTERDAM (ZUID-HOLLAND),Z44,ATU 2035,almanak
721,"Unger Stapert, Cornelia G.",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK227,ROTTERDAM (ZUID-HOLLAND),Z41,ATU 2030,brief
722,"Unger Stapert, Cornelia G.",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK228,ROTTERDAM (ZUID-HOLLAND),Z41,ATU 2030,brief
723,"Koopman, Trijntje",CBOEKENO.19E,1892-03-23 00:00:00,sprookje,CBOEK229,Hoorn (Noord-Holland),H341;H341.1;D2171.3.1,ATU 0571,brief
724,"Wijbrands, C.N.",CBOEKENO.19E,1902-07-23 00:00:00,sprookje,CBOEK233,Amsterdam (Noord-Holland),A2741.1,ATU 0295,almanak
725,"Zuidema, W.",CBOEKENO.19E,1904-01-01 00:00:00,sprookje,CBOEK234,Amsterdam (Noord-Holland),J2326,ATU 1540,brief
726,"Zuidema, W.",CBOEKENO.19E,1904-01-01 00:00:00,sprookje,CBOEK235,Amsterdam (Noord-Holland),Q412,ATU 0720,almanak
727,Anon01,CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK236,,Z41,ATU 2030,brief
728,Anon03 (Boobetje),CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK238,,J144,ATU 0123,brief
729,Anon04,CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK239,,J514,ATU 0555,brief
730,Anon05,CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK240,,Z23,ATU 2010IA,brief
731,Anon08,CBOEKENO.19E,,sage,CBOEK246,Amsterdam (Noord-Holland),K912,ATU 0956B,brief
732,Anon10,CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK248,Dieren (Gelderland),Z23,ATU 2010IA,brief
733,Anon13,CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK252,Krommeniedijk (Noord-Holland),Z41,ATU 2030,brief
734,Anon13,CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK253,Krommeniedijk (Noord-Holland),Z23,ATU 2010IA,brief
735,Anon14,CBOEKENO.19E,1892-03-29 00:00:00,sprookje,cboek254,Leiden (Zuid-Holland),Z12,ATU 2250,brief
736,Anon14,CBOEKENO.19E,1892-03-29 00:00:00,sprookje,cboek255,Leiden (Zuid-Holland),Z17,ATU 2013,brief
737,Anon14,CBOEKENO.19E,1892-03-29 00:00:00,sprookje,cboek256,Leiden (Zuid-Holland),Z41,ATU 2030,brief
738,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK258,"Leiden, Utrecht (Zuid-Holland, Utrecht)",K1363,ATU 1542**,brief
739,"Worp, Mevr.",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK259,Amsterdam (Noord-Holland),Z23,ATU 2010IA,brief
740,Anon17,CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK260,Zwolle (Overijssel),Z41,ATU 2030,brief
741,"Zuidema, W.",CBOEKENO.19E,1901-01-01 00:00:00,sprookje,CBOEK261,Amsterdam (Noord-Holland),J1154.1,ATU 1422,brief
742,Anon18,CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK262,,J2326,ATU 1540,brief
743,Anon21,CBOEKENO.19E,1881-01-01 00:00:00,sage,CBOEK266,,N211.1,ATU 0736A,brief
744,Anon23,CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK268,,Z23,ATU 2010IA,almanak
745,Anon24,CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK269,,Z41,ATU 2030,brief
746,Panken,CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK270,Bergeik (Noord-Brabant),Z23,ATU 2010IA,brief
747,"Water, v.d.",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK271,Driel (Gelderland),X610,ATU 1855,brief
748,"Meyden, v.d.",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK272,Vlissingen (Zeeland),Z41,ATU 2030,brief
749,"Dickma-van Loosen, A.",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK273,Enkhuizen (Noord-Holland),N271,ATU 0780,brief
750,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK274,Leiden (Zuid-Holland),J1804,ATU 0924,brief
751,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK275,Leiden (Zuid-Holland),Z17,ATU 2013,brief
752,"Huizinga, J.",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK277,Groningen (Groningen),X1791,ATU 1965,brief
753,"Veenhuysen Az., A.",CBOEKENO.19E,1892-03-03 00:00:00,sprookje,CBOEK279,Alkmaar (Noord-Holland),L55,ATU 0709,brief
754,Anon26,CBOEKENO.19E,1899-01-01 00:00:00,sprookje,CBOEK280,Alkmaar (Noord-Holland),X611,ATU 1656,brief
755,Anon27,CBOEKENO.19E,1908-01-01 00:00:00,sprookje,CBOEK282,Moordrecht (Zuid-Holland),Z41,ATU 2030,brief
756,Anon28,CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK284,,Z23,ATU 2010IA,brief
757,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK286,,X610,ATU 1855,brief
758,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1908-01-01 00:00:00,mop,CBOEK292,Leeuwarden (Friesland),X610,ATU 1855,brief
759,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK293,Arnhem (Gelderland),F668.1,ATU 0660,brief
760,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK295,Arnhem (Gelderland),X610,ATU 1855,brief
761,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1878-01-01 00:00:00,mop,CBOEK304,Leiden (Zuid-Holland),K1271.5,ATU 1355C,brief
762,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK306,Leiden (Zuid-Holland),K1271.5,ATU 1355C,brief
763,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK312,Leiden (Zuid-Holland),J2321.1,ATU 1739,brief
764,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK313,Leiden (Zuid-Holland),K1363.2,ATU 1424,brief
765,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,CBOEK319,Arnhem (Gelderland),H342.1,ATU 0852,brief
766,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK320,Leiden (Zuid-Holland),X610,ATU 1855,brief
767,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK334,Arnhem (Gelderland),X610,ATU 1855,brief
768,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK335,Holland,X610,ATU 1855,brief
769,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK338,Leiden (Zuid-Holland),J1814,ATU 1293,brief
770,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK340,Leiden (Zuid-Holland),X610,ATU 1855,brief
771,"Boekenoogen, Gerrit Jacob",CBOEKENO.19E,1881-01-01 00:00:00,mop,CBOEK342,Friesland,J1919.8,ATU 1543*,brief
772,"Smit, A.",CBOEKENO.19E,1881-01-01 00:00:00,sprookje,cboek087,Steenwijk (Overijssel),J17,ATU 0157,brief
773,Theo Meder,Biemans.21e,2002-01-01 00:00:00,sprookje,BIEMANS1,Bergeijk (Noord-Brabant),N815;L55;C761.3;D1050.1;S31;H36.1;F823.2;N711.6,ATU 0510A,mondeling
774,"Mol, Thijs",CBOEKENO.19E,1941-05-01 00:00:00,sprookje,ABOEK003,Zaanstreek (Noord-Holland),Z44,ATU 2035,brief
775,"Mol, Thijs",CBOEKENO.19E,1941-05-01 00:00:00,sprookje,ABOEK004,Amsterdam-Zuid (Noord-Holland),Z17,ATU 2013,brief
776,"Boekenoogen, G.J.",BOEKENOO.20E,1881-01-01 00:00:00,sprookje,BOEKV002,Beilen (Drente),F913;F535.1;F911.3.1,ATU 0700,tijdschriftartikel
777,"Onnekes, Joh.",BOEKENOO.20E,1873-01-01 00:00:00,sprookje,BOEKV003,Ulrum (Groningen),H1471,ATU 0530,tijdschriftartikel
778,"Onnekes, Joh.",BOEKENOO.20E,1873-01-01 00:00:00,sprookje,BOEKV004,Ulrum (Groningen),K1413;K335.1.1;K335.1.1.1,ATU 1653,tijdschriftartikel
779,"Onnekes, Joh.",BOEKENOO.20E,1800-01-01 00:00:00,sprookje,BOEKV005,Ulrum (Groningen),K963;L161;H80;R111.2.1;N773;F451.5.2,ATU 0301,tijdschriftartikel
780,"Onnekes, Joh.",BOEKENOO.20E,1800-01-01 00:00:00,sprookje,BOEKV006,Ulrum (Groningen),H1376.2;E281;E577.2;Q82,ATU 0326,tijdschriftartikel
781,"Onnekes, Joh.",BOEKENOO.20E,1800-01-01 00:00:00,sprookje,BOEKV008,Ulrum (Groningen),K1571,ATU 1358C,tijdschriftartikel
782,"Boekenoogen, G.J.",BOEKENOO.20E,1800-01-01 00:00:00,sprookje,BOEKV012,Ulrum (Groningen),X1133.3,ATU 1875,tijdschriftartikel
783,"Onnekes, Joh.",BOEKENOO.20E,1873-01-01 00:00:00,sprookje,BOEKV013,Ulrum (Groningen),X1133.3,ATU 1875,tijdschriftartikel
784,"Onnekes, Joh.",BOEKENOO.20E,1873-01-01 00:00:00,sprookje,BOEKV016,Ulrum (Groningen),K1161;B296,ATU 0210,tijdschriftartikel
785,"Boekenoogen, G.J.",BOEKENOO.20E,1893-01-01 00:00:00,sprookje,BOEKV017,Drente,F1025;K1161,ATU 0210,tijdschriftartikel
786,Gerrit Arends,BOEKENOO.20E,1800-01-01 00:00:00,sprookje,BOEKV018,Ezinge (Groningen),F912;N261,ATU 0248,tijdschriftartikel
787,"Onnekes, Joh.",BOEKENOO.20E,1800-01-01 00:00:00,sprookje,BOEKV019,Ulrum (Groningen),S62.1,ATU 0312,tijdschriftartikel
788,"Onnekes, Joh.",BOEKENOO.20E,1878-01-01 00:00:00,sprookje,BOEKV020,Ulrum (Groningen),G526,ATU 0327C,tijdschriftartikel
789,"Boekenoogen, G.J.",BOEKENOO.20E,1894-01-01 00:00:00,sprookje,BOEKV023,Kampen (Overijssel),D1605.1,ATU 0591,tijdschriftartikel
790,"Smit, A.",BOEKENOO.20E,1881-01-01 00:00:00,sprookje,BOEKV024,Steenwijk (Overijssel),J1151.1.1,ATU 1381,tijdschriftartikel
791,"Boekenoogen, G.J.",BOEKENOO.20E,1894-01-01 00:00:00,sprookje,BOEKV025,[Arnhem] (Gelderland),S215.1;B211.7.1;D789,ATU 0440,tijdschriftartikel
792,"Boekenoogen, G.J.",BOEKENOO.20E,1894-01-01 00:00:00,sprookje,BOEKV026,[Arnhem] (Gelderland),D2004.2;G465;H335.0.1;H1104;D2003;D671,ATU 0313,
